Metric,roman-empire,amazon-ratings,minesweeper,tolokers,questions,squirrel,squirrel-directed,squirrel-filtered,squirrel-filtered-directed,chameleon,chameleon-directed,chameleon-filtered,chameleon-filtered-directed,actor,texas,texas-4-classes,cornell,wisconsin
edges,65854.0,186100.0,78804.0,1038000.0,307080.0,396706.0,217073.0,93996.0,65718.0,62742.0,36101.0,17708.0,13584.0,53318.0,558.0,558.0,554.0,900.0
nodes,22662.0,24492.0,10000.0,11758.0,48921.0,5201.0,5201.0,2223.0,2223.0,2277.0,2277.0,890.0,890.0,7600.0,183.0,183.0,183.0,251.0
classes,18.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
avg_dgree,2.9059219360351562,7.5983991622924805,7.880399703979492,88.28031921386719,6.2770586013793945,76.27494812011719,41.73678207397461,42.28340148925781,29.562753677368164,27.554677963256836,15.854633331298828,19.896629333496094,15.262921333312988,7.015525817871094,3.049180269241333,3.049180269241333,3.027322292327881,3.5856575965881348
edge_homophily,0.04689160871017706,0.3803761418592155,0.682782599868027,0.5945221579961464,0.8395662368112544,0.22213427576089093,0.2239430974833351,0.2071790288948466,0.21741379835052801,0.2299257275827994,0.23500734051688318,0.23605150214592274,0.24742343934040048,0.21673731197719345,0.06093189964157706,0.06093189964157706,0.12274368231046931,0.17777777777777778
node_homophily,0.04689160734415054,0.3803761601448059,0.6827825903892517,0.5945221781730652,0.8395662307739258,0.2221342772245407,0.2239430993795395,0.2071790248155594,0.2174137979745865,0.229925736784935,0.23500734567642212,0.2360514998435974,0.247423455119133,0.2167373150587082,0.06093189865350723,0.06093189865350723,0.12274368107318878,0.17777778208255768
class_homophily,0.01966689531005275,0.1012842230306206,0.004682441106011542,0.09006515241437174,0.039489907083745085,0.024534356799302104,0.020677516864875095,0.03184115078737332,0.05501052939313187,0.03288434553062248,0.05053626922739626,0.03550169177311941,0.04897660016928158,0.005152357046541759,0.0,0.0,0.030601094166437783,0.0368573756883273
adjusted_homophily,-0.046757735311985016,0.1402302086353302,0.009364643134176731,0.09258385747671127,0.020672030746936798,0.006710462737828493,0.007055685389786959,0.008617458865046501,0.010095477104187012,0.032416097819805145,0.03316149860620499,0.029531441628932953,0.03215579316020012,0.0027779582887887955,-0.293643981218338,-0.293643981218338,-0.22012053430080414,-0.17329952120780945
aggregation_homophily,0.99770540993734,0.8008737546954108,0.8052,0.7247831263820378,0.9305206353099896,0.6766006537204384,0.8169582772543742,0.7480881691408007,0.8340080971659919,0.8050065876152833,0.9007465963987703,0.8573033707865169,0.9089887640449438,0.8432894736842105,0.8415300546448088,0.8415300546448088,0.9289617486338798,0.8844621513944223
our_homophily,0.9652807407691242,0.6944363061504455,0.3200293180048466,0.5184013258350871,0.12476656571806119,0.6985072040616308,0.6237066974736273,0.9008517137356187,0.889648517328128,0.7150072404034158,0.6584552272493294,0.7984204245249876,0.8355000511816378,0.7754717718349083,0.8909851607734266,0.8909851607734266,0.7127525806834137,0.6871395406732521
